_index,_id,_version,_score,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.protocol,_source.data.srcip,_source.data.id,_source.data.url,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.nist_800_53,_source.rule.gdpr,_source.data.srcuser,_source.data.uid,_source.data.dstuser,_source.decoder.parent,_source.decoder,label,label_reason
wazuh-archives-4.x-2026.03.03,omMts5wBrbzKPwSZYy-2,1,1,ubuntu-victima,systemd,Mar 03 10:10:16,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,systemd,Mar 03 10:10:16 ubuntu-victima systemd[1]: Starting sysstat-collect.service - system activity accounting tool...,log,"Mar 3, 2026 @ 11:10:17.676",journald,1772532617.1235545,"Mar 3, 2026 @ 11:10:17.676", , , , , , , , , , , , , , , , , , ,"{""name"":""systemd""}",0,normal_web
wazuh-archives-4.x-2026.03.03,pGMts5wBrbzKPwSZYy-2,1,1,ubuntu-victima,systemd,Mar 03 10:10:16,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,systemd,Mar 03 10:10:16 ubuntu-victima systemd[1]: Finished sysstat-collect.service - system activity accounting tool.,log,"Mar 3, 2026 @ 11:10:17.727",journald,1772532617.1235545,"Mar 3, 2026 @ 11:10:17.727", , , , , , , , , , , , , , , , , , ,"{""name"":""systemd""}",0,normal_web
wazuh-archives-4.x-2026.03.03,LWMss5wBrbzKPwSZ8i9Q,1,1,ubuntu-victima,kernel,Mar 03 10:09:49,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,kernel,Mar 03 10:09:49 ubuntu-victima kernel: [UFW AUDIT] IN=enp0s3 OUT= MAC=01:00:5e:00:00:01:84:aa:9c:fa:b6:7b:08:00 SRC=192.168.1.1 DST=224.0.0.1 LEN=32 TOS=0x00 PREC=0x00 TTL=1 ID=0 DF PROTO=2 ,log,"Mar 3, 2026 @ 11:09:50.130",journald,1772532590.1235545,"Mar 3, 2026 @ 11:09:50.130", , , , , , , , , , , , , , , , , , ,"{""name"":""kernel""}",0,normal_web
wazuh-archives-4.x-2026.03.03,jmMks5wBrbzKPwSZFSSQ,1,1,ubuntu-victima,kernel,Mar 03 10:00:08,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,kernel,Mar 03 10:00:08 ubuntu-victima kernel: [UFW BLOCK] IN=enp0s3 OUT= MAC=01:00:5e:00:00:01:84:aa:9c:fa:b6:7b:08:00 SRC=192.168.1.1 DST=224.0.0.1 LEN=32 TOS=0x00 PREC=0x00 TTL=1 ID=0 DF PROTO=2 ,log,"Mar 3, 2026 @ 11:00:09.987",journald,1772532009.1227713,"Mar 3, 2026 @ 11:00:09.987", , , , , , , , , , , , , , , , , , ,"{""name"":""kernel""}",0,normal_web
wazuh-archives-4.x-2026.03.03,mmMks5wBrbzKPwSZUCQw,1,1,ubuntu-victima,systemd,Mar 03 10:00:22,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,systemd,Mar 03 10:00:22 ubuntu-victima systemd[1]: sysstat-collect.service: Deactivated successfully.,log,"Mar 3, 2026 @ 11:00:23.786",journald,1772532023.1227713,"Mar 3, 2026 @ 11:00:23.786", , , , , , , , , , , , , , , , , , ,"{""name"":""systemd""}",0,normal_web
wazuh-archives-4.x-2026.03.03,p2Mks5wBrbzKPwSZaySI,1,1,ubuntu-victima,kernel,Mar 03 10:00:28,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,kernel,Mar 03 10:00:28 ubuntu-victima kernel: [UFW ALLOW] IN= OUT=enp0s3 SRC=fe80:0000:0000:0000:0a00:27ff:feff:a05c DST=ff02:0000:0000:0000:0000:0000:0001:0002 LEN=92 TC=0 HOPLIMIT=1 FLOWLBL=980963 PROTO=UDP SPT=546 DPT=547 LEN=52 ,log,"Mar 3, 2026 @ 11:00:29.720",journald,1772532029.1227713,"Mar 3, 2026 @ 11:00:29.720", , , , , , , , , , , , , , , , , , ,"{""name"":""kernel""}",0,normal_web
wazuh-archives-4.x-2026.03.03,qGMks5wBrbzKPwSZaySI,1,1,ubuntu-victima,kernel,Mar 03 10:00:28,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,kernel,Mar 03 10:00:28 ubuntu-victima kernel: [UFW BLOCK] IN=enp0s3 OUT= MAC=01:00:5e:00:00:01:84:aa:9c:fa:b6:7b:08:00 SRC=192.168.1.1 DST=224.0.0.1 LEN=32 TOS=0x00 PREC=0x00 TTL=1 ID=0 DF PROTO=2 ,log,"Mar 3, 2026 @ 11:00:29.723",journald,1772532029.1227713,"Mar 3, 2026 @ 11:00:29.723", , , , , , , , , , , , , , , , , , ,"{""name"":""kernel""}",0,normal_web
wazuh-archives-4.x-2026.03.03,qWMks5wBrbzKPwSZaySI,1,1,ubuntu-victima,kernel,Mar 03 10:00:28,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,kernel,Mar 03 10:00:28 ubuntu-victima kernel: [UFW AUDIT] IN=enp0s3 OUT= MAC=01:00:5e:00:00:01:84:aa:9c:fa:b6:7b:08:00 SRC=192.168.1.1 DST=224.0.0.1 LEN=32 TOS=0x00 PREC=0x00 TTL=1 ID=0 DF PROTO=2 ,log,"Mar 3, 2026 @ 11:00:29.723",journald,1772532029.1227713,"Mar 3, 2026 @ 11:00:29.723", , , , , , , , , , , , , , , , , , ,"{""name"":""kernel""}",0,normal_web
wazuh-archives-4.x-2026.03.03,O2Mis5wBrbzKPwSZlSNv,1,1,ubuntu-victima,kernel,Mar 03 09:58:32,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,kernel,Mar 03 09:58:32 ubuntu-victima kernel: [UFW ALLOW] IN= OUT=enp0s3 SRC=fe80:0000:0000:0000:0a00:27ff:feff:a05c DST=ff02:0000:0000:0000:0000:0000:0001:0002 LEN=92 TC=0 HOPLIMIT=1 FLOWLBL=980963 PROTO=UDP SPT=546 DPT=547 LEN=52 ,log,"Mar 3, 2026 @ 10:58:31.838",journald,1772531911.1227713,"Mar 3, 2026 @ 10:58:31.838", , , , , , , , , , , , , , , , , , ,"{""name"":""kernel""}",0,normal_web
wazuh-archives-4.x-2026.03.03,62Mms5wBrbzKPwSZ0yiG,1,1,ubuntu-victima,kernel,Mar 03 10:03:08,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,kernel,Mar 03 10:03:08 ubuntu-victima kernel: [UFW AUDIT] IN=enp0s3 OUT= MAC=01:00:5e:00:00:01:84:aa:9c:fa:b6:7b:08:00 SRC=192.168.1.1 DST=224.0.0.1 LEN=32 TOS=0x00 PREC=0x00 TTL=1 ID=0 DF PROTO=2 ,log,"Mar 3, 2026 @ 11:03:10.014",journald,1772532190.1233923,"Mar 3, 2026 @ 11:03:10.014", , , , , , , , , , , , , , , , , , ,"{""name"":""kernel""}",0,normal_web
