_index,_id,_version,_score,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.dpkg_status,_source.data.package,_source.data.arch,_source.data.version,_source.rule.firedtimes,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.hipaa,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.id,_source.rule.nist_800_53,_source.rule.gpg13,_source.rule.gdpr,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.data.dstuser,_source.decoder.parent,_source.data.vulnerability.severity,_source.data.vulnerability.package.name,_source.data.vulnerability.package.version,_source.data.vulnerability.package.architecture,_source.data.vulnerability.published,_source.data.vulnerability.classification,_source.data.vulnerability.title,_source.data.vulnerability.type,_source.data.vulnerability.reference,_source.data.vulnerability.score.version,_source.data.vulnerability.score.base,_source.data.vulnerability.cve,_source.data.vulnerability.scanner.reference,_source.data.vulnerability.enumeration,_source.data.vulnerability.cvss.cvss3.base_score,_source.data.vulnerability.updated,_source.data.vulnerability.status,_source.data.srcuser,_source.data.uid,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.data.vulnerability.package.condition,_source.data.vulnerability.package.source,_source.data.vulnerability.assigner,_source.data.vulnerability.rationale,_source.data.vulnerability.cvss.cvss3.vector.user_interaction,_source.data.vulnerability.cvss.cvss3.vector.integrity_impact,_source.data.vulnerability.cvss.cvss3.vector.scope,_source.data.vulnerability.cvss.cvss3.vector.availability,_source.data.vulnerability.cvss.cvss3.vector.confidentiality_impact,_source.data.vulnerability.cvss.cvss3.vector.attack_vector,_source.data.vulnerability.cvss.cvss3.vector.privileges_required,_source.data.tty,_source.data.pwd,_source.data.command,_source.decoder.ftscomment,_source.data.srcip,_source.data.srcport
wazuh-alerts-4.x-2026.02.18,GqSrcJwBpB672RlWXDyo,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server,status installed,libpng16-16t64,amd64,1.6.43-5ubuntu0.5,1,false,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",New dpkg (Debian Package) installed.,"[""syslog"",""dpkg"",""config_changed""]",2902,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2026-02-18 12:13:20 status installed libpng16-16t64:amd64 1.6.43-5ubuntu0.5,log,"Feb 18, 2026 @ 13:13:20.268",/var/log/dpkg.log,1771416800.1240521,"Feb 18, 2026 @ 13:13:20.268", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.02.18,HKSrcJwBpB672RlWXDyo,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server,status installed,libc-bin,amd64,2.39-0ubuntu8.7,2,false,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",New dpkg (Debian Package) installed.,"[""syslog"",""dpkg"",""config_changed""]",2902,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2026-02-18 12:13:20 status installed libc-bin:amd64 2.39-0ubuntu8.7,log,"Feb 18, 2026 @ 13:13:20.276",/var/log/dpkg.log,1771416800.1241523,"Feb 18, 2026 @ 13:13:20.276", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.02.18,dqSrcJwBpB672RlWZTx0,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server,status installed,libexpat1,amd64,2.6.1-2ubuntu0.4,3,false,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",New dpkg (Debian Package) installed.,"[""syslog"",""dpkg"",""config_changed""]",2902,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2026-02-18 12:13:23 status installed libexpat1:amd64 2.6.1-2ubuntu0.4,log,"Feb 18, 2026 @ 13:13:23.262",/var/log/dpkg.log,1771416803.1243017,"Feb 18, 2026 @ 13:13:23.262", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.02.18,eqSrcJwBpB672RlWZTx0,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server,status half-configured,libgnutls30t64,amd64,3.8.3-1.1ubuntu3.5,8,false,7,"[""10.6.1"",""10.2.7""]","[""164.312.b""]","[""CC7.2"",""CC7.3"",""CC6.8"",""CC8.1""]",Dpkg (Debian Package) half configured.,"[""syslog"",""dpkg"",""config_changed""]",2904,"[""AU.6"",""AU.14""]","[""4.10""]","[""IV_35.7.d""]",dpkg-decoder,2026-02-18 12:13:25 status half-configured libgnutls30t64:amd64 3.8.3-1.1ubuntu3.5,log,"Feb 18, 2026 @ 13:13:25.263",/var/log/dpkg.log,1771416805.1245011,"Feb 18, 2026 @ 13:13:25.263", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.02.18,rqSQcJwBpB672RlWmyu1,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server, , , , ,1,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session closed.,"[""pam"",""syslog""]",5502,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,Feb 18 11:44:02 ubuntu-victima sshd[2063]: pam_unix(sshd:session): session closed for user vboxuser,log,"Feb 18, 2026 @ 12:44:05.267",journald,1771415045.1204534,"Feb 18, 2026 @ 12:44:05.267",ubuntu-victima,sshd,Feb 18 11:44:02,vboxuser,pam, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.02.18,O6SRcJwBpB672RlWOCxr,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server, , , , ,2,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session closed.,"[""pam"",""syslog""]",5502,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,Feb 18 11:44:47 ubuntu-victima sudo[2259]: pam_unix(sudo:session): session closed for user root,log,"Feb 18, 2026 @ 12:44:48.662",journald,1771415088.1206830,"Feb 18, 2026 @ 12:44:48.662",ubuntu-victima,sudo,Feb 18 11:44:47,root,pam, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.02.18,l6THcJwBpB672RlWIUpW,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server, , , , ,4,false,3,"[""11.2.1"",""11.2.3""]", ,"[""CC7.1"",""CC7.2""]",The CVE-2026-25646 that affected libpng16-16t64 was solved due to an update in the agent or feed.,"[""vulnerability-detector""]",23502, , ,"[""IV_35.7.d""]",json, ,log,"Feb 18, 2026 @ 13:43:41.752",vulnerability-detector,1771418621.1410047,"Feb 18, 2026 @ 13:43:41.752", , , , , ,High,libpng16-16t64,1.6.43-5ubuntu0.4,amd64,2026-02-10T18:16:37Z,CVSS,CVE-2026-25646 affecting libpng16-16t64 was solved,Packages,"https://github.com/pnggroup/libpng/security/advisories/GHSA-g8hp-mq4h-rqm3, http://www.openwall.com/lists/oss-security/2026/02/09/7, https://github.com/pnggroup/libpng/commit/01d03b8453eb30ade759cd45c707e5a1c7277d88",3.1,8.100000,CVE-2026-25646,https://cti.wazuh.com/vulnerabilities/cves/CVE-2026-25646,CVE,8.100000,2026-02-13T20:43:44Z,Solved, , , , , , , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.02.18,XaTHcJwBpB672RlWYktC,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server, , , , ,1,false,3,"[""10.2.5""]","[""164.312.b""]","[""CC6.8"",""CC7.2"",""CC7.3""]",PAM: Login session opened.,"[""pam"",""syslog"",""authentication_success""]",5501,"[""AU.14"",""AC.7""]","[""7.8"",""7.9""]","[""IV_32.2""]",pam,Feb 18 12:43:58 ubuntu-victima sshd[3115]: pam_unix(sshd:session): session opened for user vboxuser(uid=1000) by vboxuser(uid=0),log,"Feb 18, 2026 @ 13:43:58.629",journald,1771418638.1414618,"Feb 18, 2026 @ 13:43:58.629",ubuntu-victima,sshd,Feb 18 12:43:58,vboxuser,pam, , , , , , , , , , , , , , , , , ,vboxuser,0,"[""Valid Accounts""]","[""T1078""]","[""Defense Evasion"",""Persistence"",""Privilege Escalation"",""Initial Access""]", , , , , , , , , , , , , , , , , 
wazuh-alerts-4.x-2026.02.18,kaTHcJwBpB672RlWGUp4,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server, , , , ,1,false,5,"[""11.2.1"",""11.2.3""]", ,"[""CC7.1"",""CC7.2""]",CVE-2026-24515 affects libexpat1,"[""vulnerability-detector""]",23503, , ,"[""IV_35.7.d""]",json, ,log,"Feb 18, 2026 @ 13:43:41.006",vulnerability-detector,1771418621.1396340,"Feb 18, 2026 @ 13:43:41.006", , , , , ,Low,libexpat1,2.6.1-2ubuntu0.4,amd64,2026-01-23T08:16:01Z,-,CVE-2026-24515 affects libexpat1,Packages,"https://ubuntu.com/security/CVE-2026-24515, https://ubuntu.com/security/notices/USN-8022-1, https://ubuntu.com/security/notices/USN-8023-1, https://www.cve.org/CVERecord?id=CVE-2026-24515",3.1,2.900000,CVE-2026-24515,https://cti.wazuh.com/vulnerabilities/cves/CVE-2026-24515,CVE,2.900000,2026-02-05T17:27:53Z,Active, , , , , ,Package default status,expat,mitre,"In libexpat before 2.7.4, XML_ExternalEntityParserCreate does not copyunknown encoding handler user data.",NONE,NONE,UNCHANGED,LOW,NONE,LOCAL,NONE, , , , , , 
wazuh-alerts-4.x-2026.02.18,k6THcJwBpB672RlWHUpq,1,1,192.168.1.48,UBUNTU-VICTIM-01,002,wazuh-server, , , , ,2,false,5,"[""11.2.1"",""11.2.3""]", ,"[""CC7.1"",""CC7.2""]",CVE-2025-66382 affects libexpat1,"[""vulnerability-detector""]",23503, , ,"[""IV_35.7.d""]",json, ,log,"Feb 18, 2026 @ 13:43:41.030",vulnerability-detector,1771418621.1402170,"Feb 18, 2026 @ 13:43:41.030", , , , , ,Low,libexpat1,2.6.1-2ubuntu0.4,amd64,2025-11-28T07:15:57Z,-,CVE-2025-66382 affects libexpat1,Packages,"https://ubuntu.com/security/CVE-2025-66382, https://www.cve.org/CVERecord?id=CVE-2025-66382",3.1,2.900000,CVE-2025-66382,https://cti.wazuh.com/vulnerabilities/cves/CVE-2025-66382,CVE,2.900000,2025-12-19T16:05:03Z,Active, , , , , ,Package default status,expat,mitre,"In libexpat through 2.7.3, a crafted file with an approximate size of 2 MiBcan lead to dozens of seconds of processing time.",NONE,NONE,UNCHANGED,LOW,NONE,LOCAL,NONE, , , , , , 
