_index,_id,_version,_score,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.agent.ip,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.srcuser,_source.data.uid,_source.data.euid,_source.data.dstuser,_source.data.logname,_source.data.tty,_source.rule.mail,_source.rule.level,_source.rule.pci_dss,_source.rule.hipaa,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.firedtimes,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.id,_source.rule.gpg13,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.srcip,_source.data.srcport,_source.decoder.parent,_source.rule.frequency,_source.previous_output,rule_id_num,rule_desc_lc,ts,srcip,label_hc,label_hc_reason,is_weak_auth,label_corr,label_corr_reason,label,label_reason
wazuh-alerts-4.x-2026.02.09,ZZ13Q5wBCEk4DVhCvNRV,1,1,ubuntu-victima,su,Feb 09 17:33:54,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,vboxuser,1000,0,root,vboxuser,/dev/pts/0,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PAM: User login failed.,"[""pam"",""syslog"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",1,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]",5503,"[""7.8""]",pam,Feb 09 17:33:54 ubuntu-victima su[15457]: pam_unix(su:auth): authentication failure; logname=vboxuser uid=1000 euid=0 tty=/dev/pts/0 ruser=vboxuser rhost=  user=root,log,"Feb 9, 2026 @ 18:33:55.982",journald,1770658435.3717349,"Feb 9, 2026 @ 18:33:55.982", , , , , ,5503,pam: user login failed.,, ,0,no_hc,False,0,no_corr,0,final=benign_or_unconfirmed
wazuh-alerts-4.x-2026.02.09,Z513Q5wBCEk4DVhCvNRV,1,1,ubuntu-victima,su,Feb 09 17:34:01,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server,vboxuser,1000,0,root,vboxuser,/dev/pts/0,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PAM: User login failed.,"[""pam"",""syslog"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",2,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]",5503,"[""7.8""]",pam,Feb 09 17:34:01 ubuntu-victima su[15458]: pam_unix(su:auth): authentication failure; logname=vboxuser uid=1000 euid=0 tty=/dev/pts/0 ruser=vboxuser rhost=  user=root,log,"Feb 9, 2026 @ 18:34:01.971",journald,1770658441.371834,"Feb 9, 2026 @ 18:34:01.971", , , , , ,5503,pam: user login failed.,, ,0,no_hc,False,0,no_corr,0,final=benign_or_unconfirmed
wazuh-alerts-4.x-2026.02.16,G3SoZ5wBcpuaqKv0ChRB,1,1,ubuntu-victima,sshd,Feb 16 17:55:48,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server, , , ,root, , ,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",1,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,Feb 16 17:55:48 ubuntu-victima sshd[1681]: Failed password for root from 192.168.1.50 port 52340 ssh2,log,"Feb 16, 2026 @ 19:03:40.858",journald,1771265020.3745,"Feb 16, 2026 @ 19:03:40.858",192.168.1.50,52340,sshd, , ,5760,sshd: authentication failed.,,192.168.1.50,0,no_hc,True,0,no_corr,0,final=benign_or_unconfirmed
wazuh-alerts-4.x-2026.02.16,HXSoZ5wBcpuaqKv0ChRB,1,1,ubuntu-victima,sshd,Feb 16 17:55:51,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server, , , ,root, , ,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",3,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,Feb 16 17:55:51 ubuntu-victima sshd[1684]: Failed password for root from 192.168.1.50 port 52370 ssh2,log,"Feb 16, 2026 @ 19:03:40.858",journald,1771265020.4709,"Feb 16, 2026 @ 19:03:40.858",192.168.1.50,52370,sshd, , ,5760,sshd: authentication failed.,,192.168.1.50,0,no_hc,True,0,no_corr,0,final=benign_or_unconfirmed
wazuh-alerts-4.x-2026.02.16,HnSoZ5wBcpuaqKv0ChRB,1,1,ubuntu-victima,sshd,Feb 16 17:55:51,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server, , , ,root, , ,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",4,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,Feb 16 17:55:51 ubuntu-victima sshd[1682]: Failed password for root from 192.168.1.50 port 52350 ssh2,log,"Feb 16, 2026 @ 19:03:40.858",journald,1771265020.5191,"Feb 16, 2026 @ 19:03:40.858",192.168.1.50,52350,sshd, , ,5760,sshd: authentication failed.,,192.168.1.50,0,no_hc,True,0,no_corr,0,final=benign_or_unconfirmed
wazuh-alerts-4.x-2026.02.16,H3SoZ5wBcpuaqKv0ChRB,1,1,ubuntu-victima,sshd,Feb 16 17:55:51,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server, , , ,root, , ,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",5,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,Feb 16 17:55:51 ubuntu-victima sshd[1683]: Failed password for root from 192.168.1.50 port 52364 ssh2,log,"Feb 16, 2026 @ 19:03:40.858",journald,1771265020.5673,"Feb 16, 2026 @ 19:03:40.858",192.168.1.50,52364,sshd, , ,5760,sshd: authentication failed.,,192.168.1.50,0,no_hc,True,0,no_corr,0,final=benign_or_unconfirmed
wazuh-alerts-4.x-2026.02.16,I3SoZ5wBcpuaqKv0ChRC,1,1,ubuntu-victima,sshd,Feb 16 17:55:54,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server, , , ,root, , ,False,10,"[""11.4"",""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: brute force trying to get access to the system. Authentication failed.,"[""syslog"",""sshd"",""authentication_failures""]","[""SI.4"",""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",1,"[""Brute Force""]","[""T1110""]","[""Credential Access""]",5763, ,sshd,Feb 16 17:55:54 ubuntu-victima sshd[1681]: Failed password for root from 192.168.1.50 port 52340 ssh2,log,"Feb 16, 2026 @ 19:03:40.858",journald,1771265020.7119,"Feb 16, 2026 @ 19:03:40.858",192.168.1.50,52340,sshd,8,"Feb 16 17:55:54 ubuntu-victima sshd[1684]: Failed password for root from 192.168.1.50 port 52370 ssh2
Feb 16 17:55:51 ubuntu-victima sshd[1681]: Failed password for root from 192.168.1.50 port 52340 ssh2
Feb 16 17:55:51 ubuntu-victima sshd[1683]: Failed password for root from 192.168.1.50 port 52364 ssh2
Feb 16 17:55:51 ubuntu-victima sshd[1682]: Failed password for root from 192.168.1.50 port 52350 ssh2
Feb 16 17:55:51 ubuntu-victima sshd[1684]: Failed password for root from 192.168.1.50 port 52370 ssh2
Feb 16 17:55:49 ubuntu-victima sshd[1682]: Failed password for root from 192.168.1.50 port 52350 ssh2
Feb 16 17:55:48 ubuntu-victima sshd[1681]: Failed password for root from 192.168.1.50 port 52340 ssh2",5763,sshd: brute force trying to get access to the system. authentication failed.,,192.168.1.50,1,hc_rule_id(5763),True,0,no_corr,1,final=hc
wazuh-alerts-4.x-2026.02.16,KnSoZ5wBcpuaqKv0ChRC,1,1,ubuntu-victima,sshd,Feb 16 17:55:55,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server, , , ,root, , ,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",8,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,Feb 16 17:55:55 ubuntu-victima sshd[1683]: Failed password for root from 192.168.1.50 port 52364 ssh2,log,"Feb 16, 2026 @ 19:03:40.875",journald,1771265020.8923,"Feb 16, 2026 @ 19:03:40.875",192.168.1.50,52364,sshd, , ,5760,sshd: authentication failed.,,192.168.1.50,0,no_hc,True,0,no_corr,0,final=benign_or_unconfirmed
wazuh-alerts-4.x-2026.02.16,LHSoZ5wBcpuaqKv0ChRC,1,1,ubuntu-victima,sshd,Feb 16 17:55:48,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server, , , ,root, , ,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",10,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,Feb 16 17:55:48 ubuntu-victima sshd[1683]: Failed password for root from 192.168.1.50 port 52364 ssh2,log,"Feb 16, 2026 @ 19:03:40.858",journald,1771265020.9887,"Feb 16, 2026 @ 19:03:40.858",192.168.1.50,52364,sshd, , ,5760,sshd: authentication failed.,,192.168.1.50,0,no_hc,True,0,no_corr,0,final=benign_or_unconfirmed
wazuh-alerts-4.x-2026.02.16,LnSoZ5wBcpuaqKv0ChRC,1,1,ubuntu-victima,sshd,Feb 16 17:55:57,192.168.1.48,UBUNTU-VICTIM-01,2,wazuh-server, , , ,root, , ,False,5,"[""10.2.4"",""10.2.5""]","[""164.312.b""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",12,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,Feb 16 17:55:57 ubuntu-victima sshd[1683]: Failed password for root from 192.168.1.50 port 52364 ssh2,log,"Feb 16, 2026 @ 19:03:41.068",journald,1771265021.10852,"Feb 16, 2026 @ 19:03:41.068",192.168.1.50,52364,sshd, , ,5760,sshd: authentication failed.,,192.168.1.50,0,no_hc,True,0,no_corr,0,final=benign_or_unconfirmed
