text,real,ml_pred,wazuh_pred
Feb 17 17:28:30 ubuntu-victima sshd[3970]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 32880 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:37:11 ubuntu-victima sshd[3276]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 58334 ssh2 [preauth]  root ,1,1,0
Feb 17 17:21:18 ubuntu-victima sshd[3756]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 48138 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 17:58:02 ubuntu-victima sshd[1865]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 39804 ssh2 [preauth]  root ,1,1,0
Feb 17 17:25:53 ubuntu-victima sshd[3898]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 46066 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:47:51 ubuntu-victima sshd[3569]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 49182 ssh2 [preauth]  root ,1,1,0
Feb 17 16:21:03 ubuntu-victima sshd[2435]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 39412 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 12:28:25 ubuntu-victima sshd[3926]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 36692 ssh2 [preauth]  root ,1,1,0
Feb 16 18:16:30 ubuntu-victima sshd[2714]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 41138 ssh2 [preauth]  root ,1,1,0
Feb 17 16:21:27 ubuntu-victima sshd[2445]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 47828 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:25:50 ubuntu-victima sshd[2960]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 57814 ssh2 [preauth]  root ,1,1,0
Feb 17 16:46:03 ubuntu-victima sshd[2695]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 44530 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:28:42 ubuntu-victima sshd[3980]: Accepted password for vboxuser from 192.168.1.50 port 50194 ssh2  vboxuser ,1,1,0
Feb 17 17:00:51 ubuntu-victima sshd[3162]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 38686 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:24:32 ubuntu-victima sshd[2528]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 55534 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:19:28 ubuntu-victima sshd[2391]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 47516 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:17:57 ubuntu-victima sshd[3655]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,1,0
Feb 17 17:15:52 ubuntu-victima sshd[3593]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 49450 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:11:17 ubuntu-victima sshd[3460]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 57558 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:09:25 ubuntu-victima sshd[3407]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 49856 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:11:17 ubuntu-victima sshd[3460]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 57558 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:01:13 ubuntu-victima sshd[3176]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 52294 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:16:02 ubuntu-victima sshd[2703]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 51906 ssh2 [preauth]  root ,1,1,0
Feb 17 16:53:22 ubuntu-victima sshd[2875]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 38448 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:37:20 ubuntu-victima sshd[3280]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 55124 ssh2 [preauth]  root ,1,1,0
Feb 17 17:00:51 ubuntu-victima sshd[3162]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 38686 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:14:32 ubuntu-victima sshd[3553]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 56786 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:05:26 ubuntu-victima sshd[2215]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 60950 ssh2 [preauth]  root ,1,1,0
Feb 17 17:22:22 ubuntu-victima sshd[3783]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 56430 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:21:30 ubuntu-victima sshd[3760]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 37570 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:46:37 ubuntu-victima sshd[2714]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 39318 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 13:36:36 ubuntu-victima sshd[4857]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 48806 ssh2 [preauth]  root ,1,1,0
Feb 17 16:07:11 ubuntu-victima sshd[2273]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 36608 ssh2 [preauth]  root ,1,1,0
Feb 17 17:21:36 ubuntu-victima sshd[3762]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 32864 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:56:58 ubuntu-victima sshd[3049]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 43354 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:56:24 ubuntu-victima sshd[3033]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 40606 ssh2 [preauth]  vboxuser ,1,1,0
