text,real,ml_pred,wazuh_pred
Feb 17 17:03:12 ubuntu-victima sshd[3228]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,1
Feb 16 18:28:33 ubuntu-victima sshd[3042]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,1
Feb 17 17:06:49 ubuntu-victima sshd[3344]: Failed password for vboxuser from 192.168.1.50 port 38800 ssh2  vboxuser ,0,0,1
Feb 17 13:35:43 ubuntu-victima sshd[4817]: Disconnecting authenticating user root 192.168.1.50 port 44878: Too many authentication failures [preauth]    ,0,0,1
Feb 16 18:28:19 ubuntu-victima sshd[3035]: Failed password for root from 192.168.1.50 port 57484 ssh2  root ,0,0,1
Feb 16 18:16:57 ubuntu-victima sshd[2732]: Failed password for root from 192.168.1.50 port 55538 ssh2  root ,0,0,1
Feb 16 18:20:55 ubuntu-victima sshd[2845]: Failed password for root from 192.168.1.50 port 35824 ssh2  root ,0,0,1
Feb 17 17:24:22 ubuntu-victima sshd[3854]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,1
Feb 17 17:14:52 ubuntu-victima sshd[3563]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,1
Feb 17 17:22:04 ubuntu-victima sshd[3774]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,0,1
Feb 16 18:28:39 ubuntu-victima sshd[3040]: Failed password for root from 192.168.1.50 port 44808 ssh2  root ,0,0,1
Feb 16 17:59:13 ubuntu-victima sshd[1906]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,1
Feb 16 18:45:29 ubuntu-victima sshd[3513]: Failed password for root from 192.168.1.50 port 54730 ssh2  root ,0,0,1
Feb 17 17:27:10 ubuntu-victima sshd[3937]: Failed password for vboxuser from 192.168.1.50 port 59214 ssh2  vboxuser ,0,0,1
Feb 17 17:12:42 ubuntu-victima sshd[3510]: Failed password for vboxuser from 192.168.1.50 port 54098 ssh2  vboxuser ,0,0,1
Feb 17 17:15:12 ubuntu-victima sshd[3575]: Failed password for vboxuser from 192.168.1.50 port 60366 ssh2  vboxuser ,0,0,1
Feb 17 17:03:46 ubuntu-victima sshd[3242]: Disconnecting authenticating user vboxuser 192.168.1.50 port 51148: Too many authentication failures [preauth]    ,0,0,1
Feb 17 17:04:54 ubuntu-victima sshd[3281]: Failed password for vboxuser from 192.168.1.50 port 49688 ssh2  vboxuser ,0,0,1
Feb 17 17:13:23 ubuntu-victima sshd[3522]: Failed password for vboxuser from 192.168.1.50 port 51558 ssh2  vboxuser ,0,0,1
Feb 17 17:21:20 ubuntu-victima sshd[3764]: Failed password for vboxuser from 192.168.1.50 port 32876 ssh2  vboxuser ,0,0,1
Feb 16 18:26:43 ubuntu-victima sshd[2979]: Disconnecting authenticating user root 192.168.1.50 port 44768: Too many authentication failures [preauth]    ,0,0,1
Feb 16 18:44:01 ubuntu-victima sshd[3462]: Disconnecting authenticating user root 192.168.1.50 port 40392: Too many authentication failures [preauth]    ,0,0,1
Feb 17 13:37:14 ubuntu-victima sshd[5374]: Failed password for root from 192.168.1.50 port 43702 ssh2  root ,0,0,1
Feb 17 17:06:26 ubuntu-victima sshd[3340]: Failed password for vboxuser from 192.168.1.50 port 59158 ssh2  vboxuser ,0,0,1
Feb 17 17:21:16 ubuntu-victima sshd[3758]: Failed password for vboxuser from 192.168.1.50 port 37568 ssh2  vboxuser ,0,0,1
Feb 17 12:34:56 ubuntu-victima sshd[4126]: Failed password for root from 192.168.1.50 port 53878 ssh2  root ,0,0,1
Feb 17 13:33:28 ubuntu-victima sshd[4754]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,1
Feb 17 17:17:31 ubuntu-victima sshd[3649]: Failed password for vboxuser from 192.168.1.50 port 56446 ssh2  vboxuser ,0,0,1
Feb 16 18:52:37 ubuntu-victima sshd[3710]: Failed password for root from 192.168.1.50 port 33494 ssh2  root ,0,0,1
Feb 17 17:12:17 ubuntu-victima sshd[3498]: Failed password for vboxuser from 192.168.1.50 port 35622 ssh2  vboxuser ,0,0,1
Feb 16 18:06:30 ubuntu-victima sshd[2403]: Failed password for root from 192.168.1.50 port 50826 ssh2  root ,0,0,1
Feb 16 18:28:35 ubuntu-victima sshd[3035]: Disconnecting authenticating user root 192.168.1.50 port 57484: Too many authentication failures [preauth]    ,0,0,1
Feb 17 11:15:57 ubuntu-victima sshd[2862]: Failed password for root from 192.168.1.50 port 34238 ssh2  root ,0,0,1
Feb 16 17:58:13 ubuntu-victima sshd[1877]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,1
Feb 17 17:22:34 ubuntu-victima sshd[3793]: Failed password for vboxuser from 192.168.1.50 port 37174 ssh2  vboxuser ,0,0,1
Feb 16 18:51:50 ubuntu-victima sshd[3694]: Failed password for root from 192.168.1.50 port 52886 ssh2  root ,0,0,1
Feb 16 17:57:23 ubuntu-victima sshd[1856]: Failed password for root from 192.168.1.50 port 36598 ssh2  root ,0,0,1
Feb 17 17:07:49 ubuntu-victima sshd[3368]: Failed password for vboxuser from 192.168.1.50 port 37998 ssh2  vboxuser ,0,0,1
Feb 17 17:19:35 ubuntu-victima sshd[3713]: Failed password for vboxuser from 192.168.1.50 port 49316 ssh2  vboxuser ,0,0,1
Feb 16 18:31:25 ubuntu-victima sshd[3119]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,1
Feb 17 12:36:00 ubuntu-victima sshd[4158]: Failed password for root from 192.168.1.50 port 40338 ssh2  root ,0,0,1
Feb 16 18:06:22 ubuntu-victima sshd[2405]: Failed password for root from 192.168.1.50 port 42710 ssh2  root ,0,0,1
Feb 17 17:15:27 ubuntu-victima sshd[3582]: Failed password for vboxuser from 192.168.1.50 port 37644 ssh2  vboxuser ,0,0,1
Feb 16 18:21:49 ubuntu-victima sshd[2863]: Failed password for root from 192.168.1.50 port 40720 ssh2  root ,0,0,1
Feb 17 17:13:44 ubuntu-victima sshd[3541]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,1
Feb 17 17:06:16 ubuntu-victima sshd[3332]: Failed password for vboxuser from 192.168.1.50 port 49364 ssh2  vboxuser ,0,0,1
Feb 17 13:25:52 ubuntu-victima sshd[4517]: Failed password for root from 192.168.1.50 port 33858 ssh2  root ,0,0,1
Feb 17 17:04:50 ubuntu-victima sshd[3279]: Failed password for vboxuser from 192.168.1.50 port 49680 ssh2  vboxuser ,0,0,1
Feb 16 18:24:14 ubuntu-victima sshd[2918]: Disconnecting authenticating user root 192.168.1.50 port 38386: Too many authentication failures [preauth]    ,0,0,1
