log,etiqueta_real,prediccion_ml,tipo_ataque_estimado,prediccion_ml_texto,etiqueta_real_texto,detectado_correctamente
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /slides HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /slides   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /site-map HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /site-map   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /source HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /source   ",1,1,web_attack,ataque,ataque,True
Feb 17 17:28:30 ubuntu-victima sshd[3970]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 32880 ssh2 [preauth]  vboxuser ,1,1,ssh_attack,ataque,ataque,True
Feb 17 13:32:01 ubuntu-victima sshd[4711]: Failed password for root from 192.168.1.50 port 38094 ssh2  root ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /resolved HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /resolved   ",1,1,web_attack,ataque,ataque,True
ossec: output: 'df -P': tmpfs               253648      12    253636       1% /run/user/1000    ,0,0,unknown,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /saves HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /saves   ",1,1,web_attack,ataque,ataque,True
Feb 16 18:28:01 ubuntu-victima sshd[3025]: Failed password for root from 192.168.1.50 port 44552 ssh2  root ,0,0,ssh_attack,normal,normal,True
Feb 17 17:03:12 ubuntu-victima sshd[3228]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,ssh_attack,normal,normal,True
Feb 16 18:28:33 ubuntu-victima sshd[3042]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /style HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /style   ",1,1,web_attack,ataque,ataque,True
Feb 17 16:45:16 ubuntu-victima sshd[2667]: PAM service(sshd) ignoring max retries; 6 > 3    ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /INSTALL_admin HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /INSTALL_admin   ",1,1,web_attack,ataque,ataque,True
Feb 17 17:01:23 ubuntu-victima sshd[3182]: Failed password for vboxuser from 192.168.1.50 port 48630 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /HTML HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /HTML   ",1,1,web_attack,ataque,ataque,True
Feb 26 11:07:44 ubuntu-victima kernel: [UFW AUDIT] IN= OUT=enp0s3 SRC=192.168.1.48 DST=80.58.61.254 LEN=85 TOS=0x00 PREC=0x00 TTL=64 ID=56660 PROTO=UDP SPT=52001 DPT=53 LEN=65      ,0,0,unknown,normal,normal,True
Feb 17 17:02:56 ubuntu-victima sshd[3222]: Failed password for vboxuser from 192.168.1.50 port 52036 ssh2  vboxuser ,1,0,ssh_attack,normal,ataque,False
Feb 17 17:06:49 ubuntu-victima sshd[3344]: Failed password for vboxuser from 192.168.1.50 port 38800 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
Feb 17 17:22:22 ubuntu-victima sshd[3783]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,0,ssh_attack,normal,ataque,False
Feb 17 16:53:52 ubuntu-victima sshd[2893]: Failed password for vboxuser from 192.168.1.50 port 53434 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
"Feb 18 12:46:37 ubuntu-victima dbus-daemon[641]: [system] Activating via systemd: service name='org.freedesktop.PackageKit' unit='packagekit.service' requested by ':1.44' (uid=0 pid=3507 comm=""/usr/bin/gdbus call --system --dest org.freedeskto"" label=""unconfined"")    ",0,0,unknown,normal,normal,True
Feb 17 16:26:05 ubuntu-victima sshd[2580]: PAM service(sshd) ignoring max retries; 4 > 3    ,0,0,ssh_attack,normal,normal,True
Feb 17 13:35:43 ubuntu-victima sshd[4817]: Disconnecting authenticating user root 192.168.1.50 port 44878: Too many authentication failures [preauth]    ,0,0,ssh_attack,normal,normal,True
Feb 16 18:32:36 ubuntu-victima sshd[3141]: Failed password for root from 192.168.1.50 port 44598 ssh2  root ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /style_css HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /style_css   ",1,1,web_attack,ataque,ataque,True
Mar 03 09:56:03 ubuntu-victima kernel: [UFW AUDIT] IN=enp0s3 OUT= MAC=08:00:27:ff:a0:5c:08:00:27:e0:6c:d7:08:00 SRC=192.168.1.50 DST=192.168.1.48 LEN=60 TOS=0x00 PREC=0x00 TTL=64 ID=64603 DF PROTO=TCP SPT=60858 DPT=80 WINDOW=64240 RES=0x00 SYN URGP=0      ,0,0,unknown,normal,normal,True
Feb 16 18:46:11 ubuntu-victima sshd[3530]: Disconnecting authenticating user root 192.168.1.50 port 52726: Too many authentication failures [preauth]    ,0,0,ssh_attack,normal,normal,True
Feb 16 18:32:40 ubuntu-victima sshd[3150]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /seo HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /seo   ",1,1,web_attack,ataque,ataque,True
Feb 17 12:00:06 ubuntu-victima systemd[1]: Starting sysstat-collect.service - system activity accounting tool...    ,0,0,unknown,normal,normal,True
Feb 16 18:28:19 ubuntu-victima sshd[3035]: Failed password for root from 192.168.1.50 port 57484 ssh2  root ,0,0,ssh_attack,normal,normal,True
Feb 16 18:36:55 ubuntu-victima sshd[3270]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,ssh_attack,normal,normal,True
Feb 26 11:11:36 ubuntu-victima kernel: [UFW BLOCK] IN=enp0s3 OUT= MAC=01:00:5e:00:00:01:84:aa:9c:fa:b6:7b:08:00 SRC=192.168.1.1 DST=224.0.0.1 LEN=32 TOS=0x00 PREC=0x00 TTL=1 ID=0 DF PROTO=2      ,0,0,unknown,normal,normal,True
Feb 17 13:33:28 ubuntu-victima sshd[4750]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 56710 ssh2 [preauth]  root ,1,1,ssh_attack,ataque,ataque,True
Feb 16 18:00:08 ubuntu-victima sshd[1919]: PAM service(sshd) ignoring max retries; 6 > 3    ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [03/Mar/2026:09:55:41 +0000] ""GET / HTTP/1.1"" 200 10926 ""-"" ""curl/8.17.0"" /   ",0,0,web_attack,normal,normal,True
Feb 17 17:23:42 ubuntu-victima sshd[3829]: Failed password for vboxuser from 192.168.1.50 port 35596 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
Feb 16 18:16:57 ubuntu-victima sshd[2732]: Failed password for root from 192.168.1.50 port 55538 ssh2  root ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /5 HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /5   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /datafiles HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /datafiles   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /RSS HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /RSS   ",1,1,web_attack,ataque,ataque,True
Feb 17 16:58:22 ubuntu-victima sshd[3097]: Failed password for vboxuser from 192.168.1.50 port 58252 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /index_var_de HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /index_var_de   ",1,1,web_attack,ataque,ataque,True
Feb 16 18:20:55 ubuntu-victima sshd[2845]: Failed password for root from 192.168.1.50 port 35824 ssh2  root ,0,0,ssh_attack,normal,normal,True
Feb 17 16:58:31 ubuntu-victima sshd[3093]: Failed password for vboxuser from 192.168.1.50 port 58242 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /install-xaom HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /install-xaom   ",1,1,web_attack,ataque,ataque,True
Feb 16 18:53:40 ubuntu-victima sshd[3734]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,0,0,ssh_attack,normal,normal,True
Feb 17 16:50:44 ubuntu-victima sshd[2835]: Disconnecting authenticating user vboxuser 192.168.1.50 port 50940: Too many authentication failures [preauth]    ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /recipes HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /recipes   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /checkout_iclear HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /checkout_iclear   ",1,1,web_attack,ataque,ataque,True
Feb 17 16:07:01 ubuntu-victima sshd[2277]: Failed password for root from 192.168.1.50 port 36612 ssh2  root ,0,0,ssh_attack,normal,normal,True
Feb 17 12:34:31 ubuntu-victima sshd[4114]: Failed password for root from 192.168.1.50 port 35386 ssh2  root ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /discuss HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /discuss   ",1,1,web_attack,ataque,ataque,True
2026-02-18 12:13:25 status unpacked libgnutls30t64:amd64 3.8.3-1.1ubuntu3.5    ,0,0,unknown,normal,normal,True
Feb 17 17:22:46 ubuntu-victima sshd[3797]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,ssh_attack,normal,normal,True
Feb 16 18:37:11 ubuntu-victima sshd[3276]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 58334 ssh2 [preauth]  root ,1,1,ssh_attack,ataque,ataque,True
Feb 17 17:24:22 ubuntu-victima sshd[3854]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,ssh_attack,normal,normal,True
Feb 17 16:05:43 ubuntu-victima sshd[2229]: Failed password for root from 192.168.1.50 port 39094 ssh2  root ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /Statistics HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /Statistics   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /ruby HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /ruby   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /productupdates HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /productupdates   ",1,1,web_attack,ataque,ataque,True
Feb 17 16:47:17 ubuntu-victima sshd[2733]: Failed password for vboxuser from 192.168.1.50 port 50726 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /services HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /services   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /postcard HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /postcard   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /paypal_notify HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /paypal_notify   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /mycgi HTTP/1.1"" 404 454 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /mycgi   ",1,1,web_attack,ataque,ataque,True
"{""data"":{""checksum"":""0bdc6f1f5f87d706f7d49b7714206a2277b81894"",""cmd"":""(udev-worker)"",""egroup"":""root"",""euser"":""root"",""fgroup"":""root"",""name"":""(udev-worker)"",""nice"":0,""nlwp"":1,""pgrp"":398,""pid"":""478"",""ppid"":398,""priority"":20,""processor"":0,""resident"":6992,""rgroup"":""root"",""ruser"":""root"",""scan_time"":""2026/02/18 12:43:40"",""session"":398,""sgroup"":""root"",""share"":1288,""size"":7034,""start_time"":1771415010,""state"":""S"",""stime"":1,""suser"":""root"",""tgid"":478,""tty"":0,""utime"":1,""vm_size"":28136},""operation"":""DELETED"",""type"":""dbsync_processes""}    ",0,0,unknown,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /safety HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /safety   ",1,1,web_attack,ataque,ataque,True
Feb 17 16:24:37 ubuntu-victima sshd[2533]: Failed password for vboxuser from 192.168.1.50 port 48456 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /utils HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /utils   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /leads HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /leads   ",1,1,web_attack,ataque,ataque,True
Feb 17 16:20:08 ubuntu-victima sshd[2418]: Failed password for vboxuser from 192.168.1.50 port 35880 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
Feb 17 17:21:18 ubuntu-victima sshd[3756]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 48138 ssh2 [preauth]  vboxuser ,1,1,ssh_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /authentication HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /authentication   ",1,1,web_attack,ataque,ataque,True
