log,etiqueta_real,prediccion_ml,tipo_ataque_estimado,prediccion_ml_texto,etiqueta_real_texto,detectado_correctamente
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /slides HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /slides   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /site-map HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /site-map   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /source HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /source   ",1,1,web_attack,ataque,ataque,True
Feb 17 17:28:30 ubuntu-victima sshd[3970]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 32880 ssh2 [preauth]  vboxuser ,1,1,ssh_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /resolved HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /resolved   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /saves HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /saves   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /style HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /style   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /INSTALL_admin HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /INSTALL_admin   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /HTML HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /HTML   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /style_css HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /style_css   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /seo HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /seo   ",1,1,web_attack,ataque,ataque,True
Feb 17 13:33:28 ubuntu-victima sshd[4750]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 56710 ssh2 [preauth]  root ,1,1,ssh_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /5 HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /5   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /datafiles HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /datafiles   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /RSS HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /RSS   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /index_var_de HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /index_var_de   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /install-xaom HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /install-xaom   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /recipes HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /recipes   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /checkout_iclear HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /checkout_iclear   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /discuss HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /discuss   ",1,1,web_attack,ataque,ataque,True
Feb 16 18:37:11 ubuntu-victima sshd[3276]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 58334 ssh2 [preauth]  root ,1,1,ssh_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /Statistics HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /Statistics   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /ruby HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /ruby   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /productupdates HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /productupdates   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /services HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /services   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /postcard HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /postcard   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /paypal_notify HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /paypal_notify   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /mycgi HTTP/1.1"" 404 454 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /mycgi   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /safety HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /safety   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /utils HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /utils   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /leads HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /leads   ",1,1,web_attack,ataque,ataque,True
Feb 17 17:21:18 ubuntu-victima sshd[3756]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 48138 ssh2 [preauth]  vboxuser ,1,1,ssh_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /authentication HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /authentication   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /jennifer HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /jennifer   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /maintenance HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /maintenance   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /unregister HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /unregister   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /gen HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /gen   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /java HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /java   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /toplists HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /toplists   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /v4 HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /v4   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /rar HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /rar   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:13 +0000] ""GET /artwork HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /artwork   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:13 +0000] ""GET /certification HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /certification   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /gif HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /gif   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /header HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /header   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:13 +0000] ""GET /advertising HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /advertising   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:13 +0000] ""GET /b2b HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /b2b   ",1,1,web_attack,ataque,ataque,True
Feb 16 17:58:02 ubuntu-victima sshd[1865]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 39804 ssh2 [preauth]  root ,1,1,ssh_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /small HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /small   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:13 +0000] ""GET /base HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /base   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /maestro HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /maestro   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /dyop_addtocart HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /dyop_addtocart   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /tpl HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /tpl   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /prot HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /prot   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /Internet HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /Internet   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /login-redirect HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /login-redirect   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /L HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /L   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /viewcvs HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /viewcvs   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /csproj HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /csproj   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /signature HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /signature   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /stuff HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /stuff   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:13 +0000] ""GET /callout HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /callout   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /Computers HTTP/1.1"" 404 454 ""-"" ""gobuster/3.8"" /Computers   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /sling HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /sling   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /outreach HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /outreach   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /pagenotfound HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /pagenotfound   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /usermanager HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /usermanager   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /rss2 HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /rss2   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /coldfusion HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /coldfusion   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:16 +0000] ""GET /topics HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /topics   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:14 +0000] ""GET /f HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /f   ",1,1,web_attack,ataque,ataque,True
