arbol,profundidad,nodos,hojas
0,89,983,492
1,86,1159,580
2,110,1029,515
3,92,1085,543
4,76,971,486
5,71,1191,596
6,97,1063,532
7,66,1311,656
8,63,997,499
9,99,913,457
10,99,945,473
11,94,1107,554
12,119,1047,524
13,92,1163,582
14,75,1161,581
15,103,889,445
16,81,989,495
17,75,1155,578
18,103,1287,644
19,66,971,486
20,91,1045,523
21,89,907,454
22,71,1165,583
23,101,855,428
24,89,1035,518
25,90,999,500
26,77,1143,572
27,69,1303,652
28,96,1005,503
29,88,1185,593
30,97,981,491
31,105,1169,585
32,75,951,476
33,83,951,476
34,69,959,480
35,96,933,467
36,77,1051,526
37,90,955,478
38,110,1089,545
39,108,1041,521
40,111,965,483
41,96,1011,506
42,91,933,467
43,97,879,440
44,115,1111,556
45,65,1133,567
46,110,953,477
47,113,959,480
48,79,943,472
49,120,881,441
50,73,1205,603
51,99,1105,553
52,78,1175,588
53,99,885,443
54,71,1149,575
55,99,953,477
56,71,945,473
57,108,1113,557
58,69,1059,530
59,82,1081,541
60,74,985,493
61,115,1169,585
62,117,1027,514
63,94,1115,558
64,120,933,467
65,64,1141,571
66,103,1079,540
67,121,1085,543
68,77,1229,615
69,80,891,446
70,66,1195,598
71,113,1039,520
72,90,1017,509
73,96,1095,548
74,89,1265,633
75,106,875,438
76,101,1321,661
77,68,1247,624
78,77,1113,557
79,81,949,475
80,78,1009,505
81,97,1099,550
82,100,1159,580
83,87,1037,519
84,88,1149,575
85,71,1121,561
86,120,937,469
87,85,1133,567
88,99,1005,503
89,89,1015,508
90,109,1101,551
91,103,947,474
92,91,1147,574
93,102,1211,606
94,98,1061,531
95,77,1005,503
96,100,927,464
97,107,1011,506
98,84,1043,522
99,77,859,430
100,96,999,500
101,104,965,483
102,94,917,459
103,94,1105,553
104,82,1083,542
105,80,995,498
106,89,1145,573
107,89,989,495
108,109,1091,546
109,86,1203,602
110,73,1171,586
111,81,1085,543
112,69,1261,631
113,113,1111,556
114,92,973,487
115,82,1293,647
116,75,1089,545
117,75,941,471
118,117,1131,566
119,104,977,489
120,76,1167,584
121,74,1179,590
122,82,865,433
123,102,949,475
124,91,1015,508
125,106,1085,543
126,71,1215,608
127,89,945,473
128,109,987,494
129,100,905,453
130,98,1171,586
131,109,1103,552
132,104,937,469
133,111,967,484
134,103,1057,529
135,113,913,457
136,76,1145,573
137,89,953,477
138,90,1183,592
139,91,1023,512
140,85,993,497
141,72,1193,597
142,101,895,448
143,99,1063,532
144,87,1181,591
145,81,1121,561
146,80,1051,526
147,83,927,464
148,82,1071,536
149,109,971,486
150,106,1005,503
151,67,1305,653
152,88,1049,525
153,103,1017,509
154,61,1163,582
155,81,1073,537
156,65,1085,543
157,93,1093,547
158,90,1045,523
159,90,983,492
160,81,1041,521
161,97,973,487
162,86,1203,602
163,83,1093,547
164,99,1167,584
165,86,1091,546
166,87,1121,561
167,131,935,468
168,111,1083,542
169,73,1099,550
170,96,921,461
171,84,955,478
172,100,969,485
173,80,1041,521
174,72,991,496
175,128,961,481
176,100,1003,502
177,82,957,479
178,89,1011,506
179,89,1193,597
180,102,1085,543
181,67,1137,569
182,88,1041,521
183,96,867,434
184,76,1185,593
185,102,849,425
186,82,957,479
187,97,1053,527
188,104,1207,604
189,92,1091,546
190,98,1045,523
191,89,991,496
192,93,1071,536
193,86,1021,511
194,74,1131,566
195,69,903,452
196,85,1041,521
197,122,1017,509
198,66,1049,525
199,101,1047,524
