term,mean_abs_shap,attacks,normals,total,attack_ratio,passes_dataset,ruleset_hits,best_rule_id,best_rule_description,shap_terms_in_best_rule,status
get,0.1544475799310031,8064,47,8111,0.9942,False,28,,,,DESCARTADO_GENERICO
sshd,0.0507755924779669,1212,8235,9447,0.1283,False,5,,,,DESCARTADO_GENERICO
port,0.0323509342521596,1038,5845,6883,0.1508,False,6,,,,DESCARTADO_GENERICO
for,0.0321881038463725,1039,5124,6163,0.1686,False,47,86803,VShell user used the maximum number of password attempts.,"maximum, exceeded",DESCARTADO_GENERICO
from,0.0288761434055397,1039,5005,6044,0.1719,False,42,,,,DESCARTADO_GENERICO
failed,0.0205699839541739,178,4984,5162,0.0345,False,147,,,,DESCARTADO_GENERICO
feb,0.0174772778317416,9276,8849,18125,0.5118,False,0,,,,DESCARTADO_GENERICO
gobuster,0.0172449428255371,4060,0,4060,1.0,True,0,,,,CANDIDATO
password,0.0150757554491064,183,4980,5163,0.0354,False,22,5404,Three failed attempts to run sudo,attempts,DESCARTADO_GENERICO
user,0.0116093418263438,178,2499,2677,0.0665,False,54,86803,VShell user used the maximum number of password attempts.,"maximum, exceeded",DESCARTADO_GENERICO
ssh,0.0111490780002618,179,1500,1679,0.1066,False,5,,,,DESCARTADO_GENERICO
pam,0.0111036759717899,161,1563,1724,0.0934,False,5,,,,DESCARTADO_GENERICO
service,0.007448175458553,2,1083,1085,0.0018,False,14,,,,DESCARTADO_GENERICO
root,0.0074008841541483,543,3906,4449,0.122,False,9,,,,DESCARTADO_GENERICO
tty,0.0073547402936725,175,1791,1966,0.089,False,1,,,,DESCARTADO_DATASET
attempts,0.0071868922696406,859,0,859,1.0,True,4,5758,Maximum authentication attempts exceeded.,"attempts, maximum, exceeded",REDUNDANCIA_PROBABLE
uid,0.0065515091312198,175,1547,1722,0.1016,False,2,,,,DESCARTADO_DATASET
max,0.0064662644346335,0,869,869,0.0,False,0,,,,DESCARTADO_DATASET
maximum,0.0063844412121153,859,0,859,1.0,True,3,5758,Maximum authentication attempts exceeded.,"attempts, maximum, exceeded",REDUNDANCIA_PROBABLE
error,0.005444769784763,865,10,875,0.9886,False,97,5758,Maximum authentication attempts exceeded.,"attempts, maximum, exceeded",DESCARTADO_GENERICO
authentication,0.0052248253542436,1036,2325,3361,0.3082,False,37,5758,Maximum authentication attempts exceeded.,"attempts, maximum, exceeded",DESCARTADO_DATASET
retries,0.0052128214339618,0,869,869,0.0,False,1,86803,VShell user used the maximum number of password attempts.,"maximum, exceeded",DESCARTADO_DATASET
exceeded,0.0051806628397486,859,0,859,1.0,True,4,5758,Maximum authentication attempts exceeded.,"attempts, maximum, exceeded",REDUNDANCIA_PROBABLE
ruser,0.004944182769311,175,1786,1961,0.0892,False,0,,,,DESCARTADO_DATASET
logname,0.0046359114942907,175,1500,1675,0.1045,False,2,,,,DESCARTADO_DATASET
authenticating,0.0037572997909949,0,853,853,0.0,False,0,,,,DESCARTADO_DATASET
systemd,0.0034792603817002,0,312,312,0.0,False,1,,,,DESCARTADO_DATASET
preauth,0.0032758145778368,859,859,1718,0.5,False,1,,,,DESCARTADO_DATASET
euid,0.0031607728374465,175,1500,1675,0.1045,False,1,,,,DESCARTADO_DATASET
mar,0.003025138194437,0,178,178,0.0,False,0,,,,DESCARTADO_GENERICO
