feature,mean_abs_shap
get,0.15444757993100316
sshd,0.05077559247796695
port,0.032350934252159624
for,0.032188103846372586
from,0.02887614340553975
failed,0.020569983954173945
feb,0.01747727783174163
gobuster,0.017244942825537127
password,0.015075755449106438
user,0.011609341826343813
ssh,0.011149078000261886
pam,0.011103675971789963
service,0.007448175458553059
root,0.007400884154148345
tty,0.007354740293672522
attempts,0.00718689226964069
uid,0.006551509131219804
max,0.006466264434633581
maximum,0.006384441212115331
error,0.005444769784763085
authentication,0.005224825354243604
retries,0.005212821433961889
exceeded,0.00518066283974862
ruser,0.004944182769311062
logname,0.00463591149429078
authenticating,0.0037572997909949397
systemd,0.0034792603817002618
preauth,0.0032758145778368614
euid,0.0031607728374465583
mar,0.003025138194437084
